date,USD,EUR
2024-11-24,102.5761,107.4252
2024-11-25,102.5761,107.4252
2024-11-26,103.7908,108.8705
2024-11-27,105.0604,110.4943
2024-11-28,108.0104,113.0947
2024-11-29,109.5782,116.141
2024-11-30,107.7409,114.3149
2024-12-01,107.7409,114.3149
2024-12-02,107.7409,114.3149
2024-12-03,107.1758,112.8019
2024-12-04,106.1878,112.02
2024-12-05,104.2361,110.2041
2024-12-06,103.3837,109.7802
2024-12-07,99.4215,106.304
2024-12-08,99.4215,106.304
2024-12-09,99.4215,106.304
2024-12-10,99.3759,105.0996
2024-12-11,100.0324,106.2024
2024-12-12,103.2707,108.5588
2024-12-13,103.95,110.4804
2024-12-14,103.4305,109.0126
2024-12-15,103.4305,109.0126
2024-12-16,103.4305,109.0126
2024-12-17,102.9125,108.7016
2024-12-18,102.9979,108.3444
2024-12-19,102.7763,108.5083
2024-12-20,103.4207,107.9576
2024-12-21,102.3438,106.5444
2024-12-22,102.3438,106.5444
2024-12-23,102.3438,106.5444
2024-12-24,101.6143,105.2512
2024-12-25,99.8729,104.231
2024-12-26,99.6125,103.9416
2024-12-27,99.2295,103.2997
2024-12-28,100.5281,105.9522
2024-12-29,101.6797,106.1028
2024-12-30,101.6797,106.1028
2024-12-31,101.6797,106.1028
2025-01-01,101.6797,106.1028
2025-01-02,101.6797,106.1028
2025-01-03,101.6797,106.1028
2025-01-04,101.6797,106.1028
2025-01-05,101.6797,106.1028
2025-01-06,101.6797,106.1028
2025-01-07,101.6797,106.1028
2025-01-08,101.6797,106.1028
2025-01-09,101.6797,106.1028
2025-01-10,102.2911,105.0893
2025-01-11,101.9146,105.0464
2025-01-12,101.9146,105.0464
2025-01-13,101.9146,105.0464
2025-01-14,102.7081,104.8556
2025-01-15,103.438,106.2493
2025-01-16,102.8078,106.0971
2025-01-17,102.3762,105.8072
2025-01-18,102.4137,104.8609
2025-01-19,102.4137,104.8609
2025-01-20,102.4137,104.8609
2025-01-21,101.9579,105.0457
2025-01-22,99.9282,103.2856
2025-01-23,98.2804,103.2419
2025-01-24,99.0978,103.6612
2025-01-25,98.2636,103.187
2025-01-26,98.2636,103.187
2025-01-27,98.2636,103.187
2025-01-28,97.132,102.746
2025-01-29,97.9658,101.5957
2025-01-30,98.0126,102.4041
2025-01-31,98.0062,102.7782
2025-02-01,97.8107,102.1301
2025-02-02,97.8107,102.1301
2025-02-03,97.8107,102.1301
2025-02-04,99.9433,102.491
2025-02-05,98.5336,102.6852
2025-02-06,98.0556,102.9215
2025-02-07,96.9104,100.6751
